episode_no,title,air_date,episode_url
1,Roller Coaster Murder Case,"January 8, 1996",https://www.detectiveconanworld.com/wiki/Roller_Coaster_Murder_Case
5,The Shinkansen's Bomb Case,"February 5, 1996",https://www.detectiveconanworld.com/wiki/The_Shinkansen%27s_Bomb_Case
13,The Strange Person Hunt Murder Case,"April 22, 1996",https://www.detectiveconanworld.com/wiki/The_Strange_Person_Hunt_Murder_Case
54,Game Company Murder Case,"April 14, 1997",https://www.detectiveconanworld.com/wiki/Game_Company_Murder_Case
128,The Black Organization: One Billion Yen Robbery Case,"December 14, 1998",https://www.detectiveconanworld.com/wiki/The_Black_Organization:_One_Billion_Yen_Robbery_Case
129,The Girl from the Black Organization and the University Professor Murder Case(2 Hour Special),"January 4, 1999",https://www.detectiveconanworld.com/wiki/The_Girl_from_the_Black_Organization_and_the_University_Professor_Murder_Case
176,Reunion with the Black Organization(Haibara),"January 17, 2000",https://www.detectiveconanworld.com/wiki/Reunion_with_the_Black_Organization
177,Reunion with the Black Organization(Conan),"January 24, 2000",https://www.detectiveconanworld.com/wiki/Reunion_with_the_Black_Organization
178,Reunion with the Black Organization(The Resolution),"January 31, 2000",https://www.detectiveconanworld.com/wiki/Reunion_with_the_Black_Organization
230,The Mysterious Passenger(Part 1),"April 16, 2001",https://www.detectiveconanworld.com/wiki/The_Mysterious_Passenger
231,The Mysterious Passenger(Part 2),"April 23, 2001",https://www.detectiveconanworld.com/wiki/The_Mysterious_Passenger
272,The Secret Rushed Omission(Part 2),"March 18, 2002",https://www.detectiveconanworld.com/wiki/The_Secret_Rushed_Omission
290,Mitsuhiko's Mystifying Forest(Part 2),"August 12, 2002",https://www.detectiveconanworld.com/wiki/Mitsuhiko%27s_Mystifying_Forest
307,On the Trail of a Silent Witness(Part 1),"January 27, 2003",https://www.detectiveconanworld.com/wiki/On_the_Trail_of_a_Silent_Witness
308,On the Trail of a Silent Witness(Part 2),"February 3, 2003",https://www.detectiveconanworld.com/wiki/On_the_Trail_of_a_Silent_Witness
309,Contact with the Black Organization(The Negotiation),"February 10, 2003",https://www.detectiveconanworld.com/wiki/Contact_with_the_Black_Organization
